gene,cidx,dev_from_random
3040_at,0.34815795403334837,0.15184204596665163
100874130_at,0.39215299684542587,0.10784700315457413
5042_at,0.3925473186119874,0.10745268138801262
51804_at,0.39465975664713837,0.10534024335286163
3039_at,0.39564556106354215,0.10435443893645785
8633_at,0.6023264984227129,0.10232649842271291
27201_at,0.3986029743127535,0.10139702568724651
26019_at,0.5979044614691302,0.09790446146913023
105373845_at,0.4037854889589905,0.09621451104100948
9153_at,0.40485579089680035,0.09514420910319965
121227_at,0.40485579089680035,0.09514420910319965
101929626_at,0.40570076611086076,0.09429923388913924
101928270_at,0.40747521406038756,0.09252478593961244
84899_at,0.40820752591257325,0.09179247408742675
105369673_at,0.40846101847679134,0.09153898152320866
105376825_at,0.4085173501577287,0.09148264984227128
284395_at,0.5912854889589906,0.09128548895899058
6650_at,0.40874267688147814,0.09125732311852186
441478_at,0.40885534024335285,0.09114465975664715
84081_at,0.5911446597566471,0.0911446597566471
221400_at,0.40924966200991436,0.09075033799008564
50507_at,0.40998197386210006,0.09001802613789994
3358_at,0.4100664713835061,0.0899335286164939
8324_at,0.4104889589905363,0.08951104100946372
1814_at,0.4104889589905363,0.08951104100946372
9388_at,0.4108269490761604,0.08917305092383959
677771_at,0.5885252365930599,0.08852523659305989
105373438_at,0.4117845876520955,0.08821541234790448
2019_at,0.4118409193330329,0.0881590806669671
3127_at,0.41186908517350157,0.08813091482649843
677845_at,0.5880464173050924,0.08804641730509244
101060544_at,0.4122352410995944,0.08776475890040558
117286_at,0.41262956286615593,0.08737043713384407
23109_at,0.5873704371338441,0.08737043713384407
988_at,0.5872296079315007,0.0872296079315007
9135_at,0.5868352861649392,0.08683528616493918
5903_at,0.5868071203244705,0.08680712032447047
9629_at,0.41319287967552953,0.08680712032447047
7050_at,0.4133337088778729,0.08666629112212709
105375524_at,0.41336187471834157,0.08663812528165843
51574_at,0.586497296079315,0.086497296079315
127495_at,0.5860748084722848,0.08607480847228477
100423027_at,0.41398152320865256,0.08601847679134744
81050_at,0.414206849932402,0.08579315006759802
3207_at,0.41426318161333936,0.08573681838666064
100379249_at,0.4143195132942767,0.08568048670572331
729609_at,0.5855396575033799,0.08553965750337988
140873_at,0.41468566922036953,0.08531433077963047
692099_at,0.5852861649391617,0.08528616493916175
284729_at,0.4148264984227129,0.08517350157728709
55703_at,0.5848073456511942,0.08480734565119419
102724943_at,0.4152771518702118,0.0847228481297882
101928796_at,0.4153898152320865,0.08461018476791349
107987189_at,0.41553064443442994,0.08446935556557006
3360_at,0.415615141955836,0.08438485804416401
100507650_at,0.4157278053177107,0.0842721946822893
643733_at,0.5840750337990086,0.0840750337990086
105373066_at,0.4160094637223975,0.0839905362776025
4435_at,0.41603762956286616,0.08396237043713384
101927505_at,0.41674177557458314,0.08325822442541686
101927439_at,0.41685443893645785,0.08314556106354215
105377715_at,0.41691077061739523,0.08308922938260477
105378088_at,0.4169952681388013,0.08300473186119872
285224_at,0.4169952681388013,0.08300473186119872
55110_at,0.5828920684993241,0.08289206849932407
100616330_at,0.41713609734114465,0.08286390265885535
105371295_at,0.4171642631816133,0.08283573681838668
103752555_at,0.41741775574583145,0.08258224425416855
105370317_at,0.4174459215863001,0.08255407841369988
100506675_at,0.41747408742676884,0.08252591257323116
4913_at,0.41747408742676884,0.08252591257323116
200232_at,0.5824132492113565,0.08241324921135651
57677_at,0.5822442541685444,0.08224425416854442
283159_at,0.417896575033799,0.08210342496620099
162998_at,0.41815006759801715,0.08184993240198285
100422256_at,0.41826273095989186,0.08173726904010814
80309_at,0.41826273095989186,0.08173726904010814
339451_at,0.41840356016223523,0.08159643983776477
28965_at,0.41854438936457866,0.08145561063542134
10274_at,0.5812021180712033,0.08120211807120326
79927_at,0.4188542136097341,0.08114578639026587
6758_at,0.4189387111311402,0.08106128886885983
9783_at,0.41896687697160884,0.08103312302839116
342667_at,0.41907954033348355,0.08092045966651645
105374796_at,0.5808641279855791,0.08086412798557907
767592_at,0.4192767012167643,0.0807232987832357
83732_at,0.5807232987832357,0.0807232987832357
105370057_at,0.4194456962595764,0.0805543037404236
51412_at,0.41947386210004506,0.08052613789995494
101929974_at,0.4196146913023885,0.08038530869761151
81614_at,0.5803571428571429,0.0803571428571429
644694_at,0.5802726453357369,0.08027264533573686
101928337_at,0.4197836863452005,0.08021631365479948
51109_at,0.41981185218566924,0.08018814781433076
55781_at,0.5801599819738621,0.0801599819738621
100506682_at,0.41989634970707523,0.08010365029292477
9126_at,0.5798783235691753,0.07987832356917535
406892_at,0.4202343397926994,0.07976566020730058
442245_at,0.5796529968454258,0.07965299684542582
10742_at,0.4205441640378549,0.07945583596214512
105372892_at,0.42057232987832355,0.07942767012167645
105376517_at,0.5792305092383957,0.0792305092383957
102723508_at,0.5791741775574584,0.07917417755745837
100506994_at,0.4210511491662911,0.0789488508337089
106480467_at,0.4214454709328526,0.07855452906714738
1479_at,0.5785545290671473,0.07855452906714733
55791_at,0.5784700315457413,0.07847003154574128
11218_at,0.5784700315457413,0.07847003154574128
399823_at,0.42158630013519605,0.07841369986480395
2247_at,0.42169896349707076,0.07830103650292924
2694_at,0.5781320414601172,0.07813204146011721
100874200_at,0.42186795853988285,0.07813204146011715
375607_at,0.42198062190175756,0.07801937809824244
102724890_at,0.4220087877422262,0.07799121225777378
